anzsco_code,occupation,task_rank,task
254421,Registered Nurses (Medical Practice),5,Answers questions and providing information to patients and families about treatment and care.
254421,Registered Nurses (Medical Practice),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254422,Registered Nurses (Mental Health),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254422,Registered Nurses (Mental Health),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254422,Registered Nurses (Mental Health),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254422,Registered Nurses (Mental Health),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254422,Registered Nurses (Mental Health),5,Answers questions and providing information to patients and families about treatment and care.
254422,Registered Nurses (Mental Health),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254423,Registered Nurses (Perioperative),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254423,Registered Nurses (Perioperative),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254423,Registered Nurses (Perioperative),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254423,Registered Nurses (Perioperative),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254423,Registered Nurses (Perioperative),5,Answers questions and providing information to patients and families about treatment and care.
254423,Registered Nurses (Perioperative),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254424,Registered Nurses (Surgical),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254424,Registered Nurses (Surgical),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254424,Registered Nurses (Surgical),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254424,Registered Nurses (Surgical),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254424,Registered Nurses (Surgical),5,Answers questions and providing information to patients and families about treatment and care.
254424,Registered Nurses (Surgical),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
254499,Registered Nurses (not covered elsewhere),1,"Assesses, plans, implements and evaluates nursing care for patients according to accepted nursing practice and standards."
254499,Registered Nurses (not covered elsewhere),2,"Works in consultation with other health professionals and members of health teams, and co-ordinating the care of patients."
254499,Registered Nurses (not covered elsewhere),3,"Provides interventions, treatments and therapies such as medications, and monitors responses to treatment and care plans."
254499,Registered Nurses (not covered elsewhere),4,Promotes health and assists in preventing ill health by participating in health education and other health promotion activities.
254499,Registered Nurses (not covered elsewhere),5,Answers questions and providing information to patients and families about treatment and care.
254499,Registered Nurses (not covered elsewhere),6,Supervises and co-ordinates the work of enrolled nurses and other health care workers.
261111,ICT Business Analysts,1,"Identifies, investigates, and analyses business processes, procedures and work practices."
261111,ICT Business Analysts,2,"Identifies and evaluates inefficiencies and recommends optimal business practices, and system functionality and behaviour."
261111,ICT Business Analysts,3,"Uses project management methodologies, principles and techniques to develop project plans and to cost, resource and manage projects."
